trial_idx,summary_path,oddball_idx,oddball_abstraction,reference_variance,n_dimensions,abstraction_columns,response,answer,n_input_tokens,n_thought_tokens,n_output_tokens
0,data/nuts_and_bolts/dim3/var2/summaries/summary=trial0.png,1,outer_shape_type,2,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type","[1] {All other images show an outer square/diamond shape, while image 1 shows an outer hexagon.}",1,1599,0,0
1,data/nuts_and_bolts/dim3/var2/summaries/summary=trial1.png,3,outer_shape_type,2,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type","[3] {All other images are circular, while this one is hexagonal.}",3,1599,0,0
2,data/nuts_and_bolts/dim3/var2/summaries/summary=trial2.png,1,inner_n_shapes,2,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type","[1] {All other images have seven inner hexagons, while image 1 only has five.}",1,1599,0,0
3,data/nuts_and_bolts/dim3/var2/summaries/summary=trial3.png,5,inner_n_shapes,2,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type",[5] {It is the only image where the small hexagons around the central shape are not equally spaced and there are more than 4 of them.},5,1599,0,0
4,data/nuts_and_bolts/dim3/var2/summaries/summary=trial4.png,5,outer_shape_type,2,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type",[5] {All other images have an outer perimeter that is a pentagon. Image 5 has a circular outer perimeter.},5,1599,0,0
5,data/nuts_and_bolts/dim3/var2/summaries/summary=trial5.png,6,nested_shape_scale,2,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type","[6] {The other five images have a central square and an even number of small circles surrounding it, arranged symmetrically. Image 6 has a larger central square and the small circles are not centered with respect to the shape, they are placed close to the edges and are not symmetrical.}",6,1599,0,0
6,data/nuts_and_bolts/dim3/var2/summaries/summary=trial6.png,3,nested_shape_type,2,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type","[3] {The center shape is a circle, while in all other images the center shape is a pentagon.}",3,1599,0,0
7,data/nuts_and_bolts/dim3/var2/summaries/summary=trial7.png,4,nested_shape_scale,2,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type",[2] {All other images show either four or five shapes around the central square. Image 2 shows only three shapes around the central square.},2,1599,0,0
8,data/nuts_and_bolts/dim3/var2/summaries/summary=trial8.png,5,outer_shape_type,2,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type","[5] {All other images have a pentagonal outer shape, while image 5 has a circular outer shape.}",5,1599,0,0
9,data/nuts_and_bolts/dim3/var2/summaries/summary=trial9.png,5,nested_shape_type,2,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type","[5] {The central shape in image 5 is a hexagon, while in all other images the central shape is a pentagon.}",5,1599,0,0
10,data/nuts_and_bolts/dim3/var2/summaries/summary=trial10.png,4,nested_shape_scale,2,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type","[4] {This image is the only one with six small diamonds, whereas all other images have four or five diamonds.}",4,1599,0,0
11,data/nuts_and_bolts/dim3/var2/summaries/summary=trial11.png,1,outer_shape_type,2,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type","[1] {All other images have a circular outer boundary, while image 1 has a square outer boundary.}",1,1599,0,0
12,data/nuts_and_bolts/dim3/var2/summaries/summary=trial12.png,1,outer_shape_type,2,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type","[1] {It is the only image where the large outer shape is a hexagon, while in all other images, the large outer shape is a pentagon.}",1,1599,0,0
13,data/nuts_and_bolts/dim3/var2/summaries/summary=trial13.png,4,inner_shape_type,2,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type","[4] {This image is the only one where the small shapes around the inner polygon are also polygons (specifically, pentagons), while in all other images, the small shapes are circles.}",4,1599,0,0
14,data/nuts_and_bolts/dim3/var2/summaries/summary=trial14.png,3,inner_shape_type,2,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type","[3] {It is the only image where all the smaller shapes (both the central one and the four surrounding ones) are diamonds. All other images have at least two different shapes (e.g., diamonds and pentagons, or circles and pentagons).}",3,1599,0,0
15,data/nuts_and_bolts/dim3/var2/summaries/summary=trial15.png,3,nested_shape_scale,2,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type","[3] {All other images have a prime number of hexagons (4 or 6), while image 3 has an even number of hexagons (6).}",3,1599,0,0
16,data/nuts_and_bolts/dim3/var2/summaries/summary=trial16.png,5,inner_n_shapes,2,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type","[5] {Image 5 is the only image that contains four outer holes, while all other images contain six outer holes.}",5,1599,0,0
17,data/nuts_and_bolts/dim3/var2/summaries/summary=trial17.png,3,outer_shape_type,2,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type","[3] {The outer shape of the figure is a hexagon, while in all other figures, the outer shape is a pentagon.}",3,1599,0,0
18,data/nuts_and_bolts/dim3/var2/summaries/summary=trial18.png,6,nested_shape_type,2,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type","[6] {All other images have a pentagon at their center, while image 6 has a circle.}",6,1599,0,0
19,data/nuts_and_bolts/dim3/var2/summaries/summary=trial19.png,3,nested_shape_type,2,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type","[3] {All other images have a pentagon at their center, while image 3 has a circle.}",3,1599,0,0
20,data/nuts_and_bolts/dim3/var2/summaries/summary=trial20.png,2,outer_shape_type,2,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type","[2] {The outer shape of the image is a pentagon, while all other images have an outer square/diamond shape.}",2,1599,0,0
21,data/nuts_and_bolts/dim3/var2/summaries/summary=trial21.png,5,nested_shape_type,2,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type","[5] {The central shape in image 5 is a pentagon, while in all other images the central shape is a circle.}",5,1599,0,0
22,data/nuts_and_bolts/dim3/var2/summaries/summary=trial22.png,1,outer_shape_type,2,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type","[1] {All other images have an outer circular shape, while image 1 has an outer pentagonal shape.}",1,1599,0,0
23,data/nuts_and_bolts/dim3/var2/summaries/summary=trial23.png,6,inner_shape_type,2,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type","[6] {The other five images have diamonds surrounding a central hexagon, whereas image 6 has hexagons surrounding a central hexagon.}",6,1599,0,0
24,data/nuts_and_bolts/dim3/var2/summaries/summary=trial24.png,6,inner_shape_type,2,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type","[6] {Images 1-5 all have identical shapes in the four surrounding positions, while image 6 has four pentagons surrounding a hexagon.}",6,1599,0,0
