trial_idx,summary_path,oddball_idx,oddball_abstraction,reference_variance,n_dimensions,abstraction_columns,response,answer,n_input_tokens,n_thought_tokens,n_output_tokens
0,balanced_data/dim_balanced/nuts_and_bolts/dim3/var2/summaries/summary=trial0.png,1,outer_ring_variant,2,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type,outer_ring_variant","[1] {All other images have a double-lined outer border, while image 1 has a single-lined outer border.}",1,1599,0,27
1,balanced_data/dim_balanced/nuts_and_bolts/dim3/var2/summaries/summary=trial1.png,1,nested_shape_scale,2,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type,outer_ring_variant","[5] {It is the only image where both the central shape and the peripheral shapes are hexagons. In all other images, there is a mix of circles and hexagons or all shapes are circles.}",5,1599,0,40
2,balanced_data/dim_balanced/nuts_and_bolts/dim3/var2/summaries/summary=trial2.png,5,outer_shape_type,2,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type,outer_ring_variant","[5] {All other images are composed of squares/diamonds, whereas image 5 is composed of a pentagon.}",5,1599,0,25
3,balanced_data/dim_balanced/nuts_and_bolts/dim3/var2/summaries/summary=trial3.png,1,nested_shape_scale,2,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type,outer_ring_variant",[4] {The image is identical to image 3. All other images are unique.},4,1599,0,19
4,balanced_data/dim_balanced/nuts_and_bolts/dim3/var2/summaries/summary=trial4.png,6,inner_shape_type,2,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type,outer_ring_variant","[6] {All other images contain hexagonal shapes, while image 6 contains only circular shapes.}",6,1599,0,20
5,balanced_data/dim_balanced/nuts_and_bolts/dim3/var2/summaries/summary=trial5.png,2,nested_shape_type,2,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type,outer_ring_variant","[2] {All other images have a central circular feature, whereas image 2 has a central square feature.}",2,1599,0,23
6,balanced_data/dim_balanced/nuts_and_bolts/dim3/var2/summaries/summary=trial6.png,3,inner_shape_type,2,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type,outer_ring_variant","[3] {It is the only image where all the inner shapes are squares (or diamonds). In all other images, there are circles present.}",3,1599,0,30
7,balanced_data/dim_balanced/nuts_and_bolts/dim3/var2/summaries/summary=trial7.png,1,outer_ring_variant,2,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type,outer_ring_variant","[1] {All other images (2, 3, 4, 5, 6) have two concentric outer shapes, whereas image 1 has only one outer circle.}",1,1599,0,38
8,balanced_data/dim_balanced/nuts_and_bolts/dim3/var2/summaries/summary=trial8.png,6,outer_ring_variant,2,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type,outer_ring_variant","[6] {The other five images have a double-lined outermost pentagon, while image 6 has a single-lined outermost pentagon.}",6,1599,0,30
9,balanced_data/dim_balanced/nuts_and_bolts/dim3/var2/summaries/summary=trial9.png,2,inner_shape_type,2,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type,outer_ring_variant","[2] {All other images contain at least one hexagon, or only hexagons. Image 2 contains pentagons and a square.}",2,1599,0,27
