Unnamed: 0,image_path,condition,name,program,program_description,human_description
0,/scratch/gpfs/nb0564/vlm_reasoning/logo_experiment/images/train-110.png,train,4 medium semicircle s in a row_copy_1,(lambda (logo_forLoop 4 (lambda (lambda (logo_GETSET (lambda (logo_forLoop logo_IFTY (lambda (lambda (logo_FWRT (logo_MULL logo_epsL 2) logo_epsA $0))) $0)) (logo_PT (lambda (logo_FWRT logo_UL logo_ZA $0)) $0)))) $0)),4 medium semicircle s in a row,"['4 half circle s arranged in a horizontal line', '4 medium half circle s side by side curve on the right', '4 medium semicircle s in a row']"
1,/scratch/gpfs/nb0564/vlm_reasoning/logo_experiment/images/train-23.png,train,a medium semicircle connected by a medium line to a medium circle,(lambda (logo_forLoop logo_IFTY (lambda (lambda (logo_FWRT (logo_MULL logo_epsL 2) logo_epsA $0))) (logo_FWRT (logo_MULL logo_UL 2) logo_ZA (logo_forLoop logo_IFTY (lambda (lambda (logo_FWRT (logo_MULL logo_epsL 2) logo_epsA $0))) (logo_forLoop logo_IFTY (lambda (lambda (logo_FWRT (logo_MULL logo_epsL 2) logo_epsA $0))) $0))))),a medium semicircle connected by a medium line to a medium circle,"['lower case g on its left side', 'small circle connected to hook shape which looks like number 9', 'a small circle connected to a larger oval that is not closed', 'a 9 on its side']"
2,/scratch/gpfs/nb0564/vlm_reasoning/logo_experiment/images/train-48.png,train,5 sided snowflake with a short line and a medium 5 gon as arms,(lambda (logo_forLoop 5 (lambda (lambda (logo_GETSET (lambda (logo_FWRT (logo_MULL logo_UL 1) logo_ZA (logo_forLoop 5 (lambda (lambda (logo_FWRT (logo_MULL logo_UL 2) (logo_DIVA logo_UA 5) $0))) $0))) (logo_FWRT logo_ZL (logo_DIVA logo_UA 5) $0)))) $0)),5 sided snowflake with a short line and a medium 5 gon as arms,"['5 sided snowflake with 5 gon touching at the end of each arm', '5 5 gon s on a starburst', 'hexagon flower']"
3,/scratch/gpfs/nb0564/vlm_reasoning/logo_experiment/images/train-196.png,train,5 sided snowflake with a small triangle and a medium circle as arms,(lambda (logo_forLoop 5 (lambda (lambda (logo_GETSET (lambda (logo_PT (lambda (logo_FWRT logo_UL logo_ZA $0)) (logo_forLoop 3 (lambda (lambda (logo_FWRT (logo_MULL logo_UL 1) (logo_DIVA logo_UA 3) $0))) (logo_PT (lambda (logo_FWRT logo_UL logo_ZA $0)) (logo_forLoop logo_IFTY (lambda (lambda (logo_FWRT (logo_MULL logo_epsL 2) logo_epsA $0))) (logo_forLoop logo_IFTY (lambda (lambda (logo_FWRT (logo_MULL logo_epsL 2) logo_epsA $0))) $0)))))) (logo_FWRT logo_ZL (logo_DIVA logo_UA 5) $0)))) $0)),5 sided snowflake with a small triangle and a medium circle as arms,"['5 candy corn pointing in', '5 ice cream c1 s in a circle', '5 lamps in rounded', 'a 5 sided snowflake made of medium circle s connected to small triangles']"
4,/scratch/gpfs/nb0564/vlm_reasoning/logo_experiment/images/train-42.png,train,3 sided snowflake with a short space and a short line and a short space and a small square as arms,(lambda (logo_forLoop 3 (lambda (lambda (logo_GETSET (lambda (logo_PT (lambda (logo_FWRT logo_UL logo_ZA $0)) (logo_FWRT logo_UL logo_ZA (logo_PT (lambda (logo_FWRT logo_UL logo_ZA $0)) (logo_forLoop 4 (lambda (lambda (logo_FWRT (logo_MULL logo_UL 1) (logo_DIVA logo_UA 4) $0))) $0))))) (logo_FWRT logo_ZL (logo_DIVA logo_UA 3) $0)))) $0)),3 sided snowflake with a short space and a short line and a short space and a small square as arms,"['small square s and lines in a y formation', '3 point star made of lines and square s', '3 lines shooting out from middle square on the outside']"
5,/scratch/gpfs/nb0564/vlm_reasoning/logo_experiment/images/train-171.png,train,4 concentric square s_copy_4,(lambda (logo_forLoop 5 (lambda (lambda (logo_GETSET (lambda (logo_forLoop 4 (lambda (lambda (logo_FWRT (logo_MULL logo_UL $4) (logo_DIVA logo_UA 4) $0))) $0)) $0))) $0)),4 concentric square s,"['nested square with little damage at the top right corner', 'square s inside', '4 nested square s']"
6,/scratch/gpfs/nb0564/vlm_reasoning/logo_experiment/images/train-29.png,train,a 7 stepped staircase_copy_1,(lambda (logo_forLoop 7 (lambda (lambda (logo_FWRT logo_UL (logo_DIVA logo_UA 4) (logo_FWRT logo_UL (logo_DIVA logo_UA 4) (logo_FWRT logo_ZL (logo_DIVA logo_UA 2) $0))))) $0)),a 7 stepped staircase,"['a large 6 step stair going to the right', 'ladder shape object']"
7,/scratch/gpfs/nb0564/vlm_reasoning/logo_experiment/images/train-135.png,train,7 sided snowflake with a short space and a short line and a short space and a short line as arms,(lambda (logo_forLoop 7 (lambda (lambda (logo_GETSET (lambda (logo_PT (lambda (logo_FWRT logo_UL logo_ZA $0)) (logo_FWRT logo_UL logo_ZA (logo_PT (lambda (logo_FWRT logo_UL logo_ZA $0)) (logo_FWRT logo_UL logo_ZA $0))))) (logo_FWRT logo_ZL (logo_DIVA logo_UA 7) $0)))) $0)),7 sided snowflake with a short space and a short line and a short space and a short line as arms,"['line art', '6 lines each with 2 black lines separated by a white space and forming a pinwheel nothing is connected']"
8,/scratch/gpfs/nb0564/vlm_reasoning/logo_experiment/images/train-67.png,train,3 concentric square s_copy_0,(lambda (logo_forLoop 4 (lambda (lambda (logo_GETSET (lambda (logo_forLoop 4 (lambda (lambda (logo_FWRT (logo_MULL logo_UL $4) (logo_DIVA logo_UA 4) $0))) $0)) $0))) $0)),3 concentric square s,"['3 nesting square s', '3 nested square s', '3 nestled square s going small medium then large to the right', '3 nested square s']"
9,/scratch/gpfs/nb0564/vlm_reasoning/logo_experiment/images/train-154.png,train,6 sided snowflake with a medium space and a medium triangle as arms,(lambda (logo_forLoop 6 (lambda (lambda (logo_GETSET (lambda (logo_PT (lambda (logo_FWRT (logo_MULL logo_UL 2) logo_ZA $0)) (logo_forLoop 3 (lambda (lambda (logo_FWRT (logo_MULL logo_UL 2) (logo_DIVA logo_UA 3) $0))) $0))) (logo_FWRT logo_ZL (logo_DIVA logo_UA 6) $0)))) $0)),6 sided snowflake with a medium space and a medium triangle as arms,"['a 6 sided snowflake with a space and triangles for arms', '7 snowflake 7 sdoed triangles', '6 triangles unconnected']"
