trial_idx,summary_path,oddball_idx,oddball_abstraction,reference_variance,n_dimensions,abstraction_columns,response,answer,n_input_tokens,n_thought_tokens,n_output_tokens
0,balanced_data/dim_balanced/glyphs/dim2/var2/summaries/summary=trial0.png,1,emb1_color,2,2,"emb1_type,emb1_color,emb2_type,emb2_color","[1] {All other images have a pattern where the bottom features are either both red or both black, while image 1 has green bottom features.}",1,1599,0,31
1,balanced_data/dim_balanced/glyphs/dim2/var2/summaries/summary=trial1.png,2,emb1_type,2,2,"emb1_type,emb1_color,emb2_type,emb2_color","[2] {Image 2 is the only one where one of the colored horizontal lines is not straight. It is wavy, while all other horizontal colored lines in all images are straight.}",2,1599,0,38
2,balanced_data/dim_balanced/glyphs/dim2/var2/summaries/summary=trial2.png,5,emb1_color,2,2,"emb1_type,emb1_color,emb2_type,emb2_color","[5] {All other images show the two small shapes at the bottom as circles, while image 5 shows them as hexagons.}",5,1599,0,27
3,balanced_data/dim_balanced/glyphs/dim2/var2/summaries/summary=trial3.png,1,emb2_color,2,2,"emb1_type,emb1_color,emb2_type,emb2_color","The outlier is:

[1] {It is the only image where the middle horizontal line is red. In all other images, the middle horizontal line is blue.}",1,1599,0,34
4,balanced_data/dim_balanced/glyphs/dim2/var2/summaries/summary=trial4.png,2,emb2_color,2,2,"emb1_type,emb1_color,emb2_type,emb2_color","[2] {All other images contain at least one green line or circle, while image 2 only contains blue shapes.}",2,1599,0,25
5,balanced_data/dim_balanced/glyphs/dim2/var2/summaries/summary=trial5.png,1,emb1_type,2,2,"emb1_type,emb1_color,emb2_type,emb2_color","[1] {It is the only image where one of the horizontal elements is composed of two distinct circular shapes, rather than a single line (straight or curved).}",1,1599,0,33
6,balanced_data/dim_balanced/glyphs/dim2/var2/summaries/summary=trial6.png,3,emb1_type,2,2,"emb1_type,emb1_color,emb2_type,emb2_color","[3] {All other images show two horizontal wavy lines, while image 3 shows one horizontal wavy line and one straight horizontal line.}",3,1599,0,28
7,balanced_data/dim_balanced/glyphs/dim2/var2/summaries/summary=trial7.png,1,emb2_type,2,2,"emb1_type,emb1_color,emb2_type,emb2_color","[1] {It is the only image that contains a red horizontal line; all other images have either green shapes at the bottom or red/blue shapes in the middle, but no other horizontal lines.}",1,1599,0,41
8,balanced_data/dim_balanced/glyphs/dim2/var2/summaries/summary=trial8.png,6,emb1_type,2,2,"emb1_type,emb1_color,emb2_type,emb2_color","[6] {The other five images all have two small circles at the bottom of the two vertical lines. Image 6 does not have these circles; instead, it has a horizontal line connecting the bottoms of the two vertical lines.}",6,1599,0,47
9,balanced_data/dim_balanced/glyphs/dim2/var2/summaries/summary=trial9.png,6,emb1_type,2,2,"emb1_type,emb1_color,emb2_type,emb2_color","[6] {All other images show straight lines, while image 6 has a curved line at the bottom.}",6,1599,0,23
10,balanced_data/dim_balanced/glyphs/dim2/var2/summaries/summary=trial10.png,2,emb2_type,2,2,"emb1_type,emb1_color,emb2_type,emb2_color","[2] {All other images show two horizontal elements, either two waves or a wave and two circles. Image 2 has one wave and two circles, but they are both at the bottom, making it a single horizontal element.}",2,1599,0,47
11,balanced_data/dim_balanced/glyphs/dim2/var2/summaries/summary=trial11.png,5,emb1_type,2,2,"emb1_type,emb1_color,emb2_type,emb2_color","[5] {All other images have a curved line at the bottom, while image 5 has a straight line at the bottom.}",5,1599,0,27
12,balanced_data/dim_balanced/glyphs/dim2/var2/summaries/summary=trial12.png,5,emb1_color,2,2,"emb1_type,emb1_color,emb2_type,emb2_color",[5] {All other images contain at least one blue line. Image 5 is the only one without any blue lines.},5,1599,0,26
13,balanced_data/dim_balanced/glyphs/dim2/var2/summaries/summary=trial13.png,3,emb1_color,2,2,"emb1_type,emb1_color,emb2_type,emb2_color","[3] {All other images have a straight green line at the bottom, or a straight red line at the top, or a straight green line at the bottom and a straight red line at the top. Image 3 has a wavy green line at the bottom, a wavy blue line at the top, and a wavy red line between them.}",3,1599,0,70
14,balanced_data/dim_balanced/glyphs/dim2/var2/summaries/summary=trial14.png,6,emb2_color,2,2,"emb1_type,emb1_color,emb2_type,emb2_color","[6] {The horizontal line is green, while in the other five images it is red.}",6,1599,0,20
15,balanced_data/dim_balanced/glyphs/dim2/var2/summaries/summary=trial15.png,2,emb1_color,2,2,"emb1_type,emb1_color,emb2_type,emb2_color","[2] {Images 1, 3, 4, 5, and 6 contain at least one red colored line. Image 2 contains only blue and green colored lines, making it the outlier.}",2,1599,0,44
16,balanced_data/dim_balanced/glyphs/dim2/var2/summaries/summary=trial16.png,6,emb2_type,2,2,"emb1_type,emb1_color,emb2_type,emb2_color",[6] {All other images contain at least one wavy line segment. Image 6 contains only straight lines and circular shapes.},6,1599,0,26
17,balanced_data/dim_balanced/glyphs/dim2/var2/summaries/summary=trial17.png,1,emb2_color,2,2,"emb1_type,emb1_color,emb2_type,emb2_color",[4] {This is the only image that has four circles. All other images have two circles or none.},4,1599,0,23
18,balanced_data/dim_balanced/glyphs/dim2/var2/summaries/summary=trial18.png,6,emb2_color,2,2,"emb1_type,emb1_color,emb2_type,emb2_color","[6] {The other five images all have either two blue circles or two green circles, and either a straight red line or a wavy red line. Image 6 has two green circles and a wavy green line, making it the only image where the circles and the horizontal line are the same color (green).}",6,1599,0,63
19,balanced_data/dim_balanced/glyphs/dim2/var2/summaries/summary=trial19.png,6,emb2_color,2,2,"emb1_type,emb1_color,emb2_type,emb2_color","[1] {All other images have only one horizontal line in red or green, while image 1 has two horizontal lines in red.}",1,1599,0,28
20,balanced_data/dim_balanced/glyphs/dim2/var2/summaries/summary=trial20.png,2,emb2_type,2,2,"emb1_type,emb1_color,emb2_type,emb2_color",[2] {Image 2 is the only one that does not contain a wavy green line.},2,1599,0,20
21,balanced_data/dim_balanced/glyphs/dim2/var2/summaries/summary=trial21.png,2,emb2_type,2,2,"emb1_type,emb1_color,emb2_type,emb2_color",[2] {Image 2 is the only one that has a horizontal line connecting the two vertical lines. All other images have two vertical lines and either circles or ovals between them.},2,1599,0,38
22,balanced_data/dim_balanced/glyphs/dim2/var2/summaries/summary=trial22.png,2,emb2_color,2,2,"emb1_type,emb1_color,emb2_type,emb2_color","[2] {In images 1, 3, 4, 5, and 6, there is one red feature and two green features. Image 2 is the only one with one red feature and two green features.}",2,1599,0,48
23,balanced_data/dim_balanced/glyphs/dim2/var2/summaries/summary=trial23.png,3,emb1_type,2,2,"emb1_type,emb1_color,emb2_type,emb2_color","[3] {It is the only image that contains four small colored shapes (two green, two blue). All other images contain only two small colored shapes (two green circles, or one green horizontal line, or one red horizontal line, or one blue horizontal line).}",3,1599,0,54
24,balanced_data/dim_balanced/glyphs/dim2/var2/summaries/summary=trial24.png,5,emb1_color,2,2,"emb1_type,emb1_color,emb2_type,emb2_color","[3] {The image has two pairs of colored circles, one blue and one green, while the other images either have one pair of colored circles (images 1, 2, 4) or two pairs of circles of the same color (images 5 and 6). In images 1, 2, and 4, the green line below the vertical lines acts as a third color/feature, whereas in image 3, it's a second pair of circles in a new color (green), and in images 5 and 6, it's just two pairs of circles of the same color.}",3,1599,0,128
25,balanced_data/dim_balanced/glyphs/dim2/var2/summaries/summary=trial25.png,3,emb2_type,2,2,"emb1_type,emb1_color,emb2_type,emb2_color","[3] {All other images depict two vertical lines, a red line at the bottom, and two circles in between the vertical lines, suggesting a face or a container with contents. Image 3 has a blue horizontal line instead of circles, and the red line is wavy.}",3,1599,0,56
26,balanced_data/dim_balanced/glyphs/dim2/var2/summaries/summary=trial26.png,6,emb1_type,2,2,"emb1_type,emb1_color,emb2_type,emb2_color","[6] {In all other images, there is a red line, a green line, and two black vertical lines. The red and green lines are either straight or wavy. In image 6, the bottom red line is straight, while in all other images with a straight bottom line (images 1, 4, and 5), that line is green. And in images 2 and 3, which have a red bottom line, that line is wavy. Therefore, image 6 is the only one where the red bottom line is straight.}",6,1599,0,113
27,balanced_data/dim_balanced/glyphs/dim2/var2/summaries/summary=trial27.png,3,emb1_type,2,2,"emb1_type,emb1_color,emb2_type,emb2_color","[3] {All other images show three lines (two vertical and one horizontal/curved) that form a shape resembling the letter ""H"" or a container with liquid, with consistent coloring for the bottom and middle lines. Image 3 has an 'H' shape but with small circles at the bottom instead of a connecting line, and the middle line is red while the circles are blue, breaking the pattern of color consistency for the bottom element seen in the other images.}",3,1599,0,96
28,balanced_data/dim_balanced/glyphs/dim2/var2/summaries/summary=trial28.png,1,emb1_color,2,2,"emb1_type,emb1_color,emb2_type,emb2_color",[1] {All other images have at least one red element. Image 1 has only black and blue elements.},1,1599,0,24
29,balanced_data/dim_balanced/glyphs/dim2/var2/summaries/summary=trial29.png,5,emb1_color,2,2,"emb1_type,emb1_color,emb2_type,emb2_color","[1] {All other images show at least one straight line segment that is part of the colored lines (blue or green), whereas image 1 has only wavy colored lines.}",1,1599,0,36
30,balanced_data/dim_balanced/glyphs/dim2/var2/summaries/summary=trial30.png,6,emb2_color,2,2,"emb1_type,emb1_color,emb2_type,emb2_color","[6] {Image 6 is the outlier because the wavy line is green, whereas in all other images with a wavy line, it is blue.}",6,1599,0,31
