trial_idx,summary_path,oddball_idx,oddball_abstraction,reference_variance,n_dimensions,abstraction_columns,response,answer,n_input_tokens,n_thought_tokens,n_output_tokens
0,balanced_data/var_balanced/glyphs/dim1/var0/summaries/summary=trial0.png,1,emb1_type,0,1,"emb1_type,emb1_color","[1] {All other images have two red circles at the bottom, whereas image 1 has a single red line at the bottom.}",1,1599,0,28
1,balanced_data/var_balanced/glyphs/dim1/var0/summaries/summary=trial1.png,2,emb1_type,0,1,"emb1_type,emb1_color","[2] {All other images show two vertical black lines connected by a single horizontal blue line. Image 2 shows two vertical black lines with two small blue circles at their base, not a single connecting line.}",2,1599,0,43
2,balanced_data/var_balanced/glyphs/dim1/var0/summaries/summary=trial2.png,2,emb1_type,0,1,"emb1_type,emb1_color",[2] {Image 2 is the only one with a horizontal line connecting the two vertical lines. All other images have two small green circles at the base of the vertical lines.},2,1599,0,37
3,balanced_data/var_balanced/glyphs/dim1/var0/summaries/summary=trial3.png,6,emb1_color,0,1,"emb1_type,emb1_color","[6] {The small circles in image 6 are red, while in all other images they are blue.}",6,1599,0,23
4,balanced_data/var_balanced/glyphs/dim1/var0/summaries/summary=trial4.png,5,emb1_color,0,1,"emb1_type,emb1_color","[5] {The horizontal line is red, while in all other images it is green.}",5,1599,0,19
5,balanced_data/var_balanced/glyphs/dim1/var0/summaries/summary=trial5.png,1,emb1_type,0,1,"emb1_type,emb1_color","[1] {The green markings in image 1 are two distinct circles, while in all other images, the green marking is a single, continuous wavy line connecting the bottoms of the two black vertical lines.}",1,1599,0,42
6,balanced_data/var_balanced/glyphs/dim1/var0/summaries/summary=trial6.png,1,emb1_type,0,1,"emb1_type,emb1_color","[1] {All other images show a curved red line connecting the two black vertical lines, while image 1 shows a straight red line.}",1,1599,0,29
7,balanced_data/var_balanced/glyphs/dim1/var0/summaries/summary=trial7.png,2,emb1_color,0,1,"emb1_type,emb1_color","[2] {All images show two vertical black lines and two small circles near the bottom. In images 1, 3, 4, 5, and 6, these circles are green. In image 2, the circles are red.}",2,1599,0,52
8,balanced_data/var_balanced/glyphs/dim1/var0/summaries/summary=trial8.png,5,emb1_type,0,1,"emb1_type,emb1_color","[5] {It is the only image where the two vertical lines are connected at the bottom by a horizontal blue line. In all other images, there are two distinct blue circles between the bottom of the vertical lines.}",5,1599,0,44
9,balanced_data/var_balanced/glyphs/dim1/var0/summaries/summary=trial9.png,6,emb1_type,0,1,"emb1_type,emb1_color","[6] {All other images (1-5) feature a straight blue line connecting the two black vertical lines, whereas image 6 has a curved blue line.}",6,1599,0,34
