trial_idx,summary_path,oddball_idx,oddball_abstraction,reference_variance,n_dimensions,abstraction_columns,response,answer,n_input_tokens,n_thought_tokens,n_output_tokens
0,data/totems/dim1/var0/summaries/summary=trial0.png,3,module1_color,0,1,"module1_shape,module1_color",[3] {It is the only image with a red border; all other images have a blue border.},3,1599,0,0
1,data/totems/dim1/var0/summaries/summary=trial1.png,3,module1_color,0,1,"module1_shape,module1_color","[3] {The color of the triangle in image 3 is blue, while all other triangles are green.}",3,1599,0,0
2,data/totems/dim1/var0/summaries/summary=trial2.png,6,module1_color,0,1,"module1_shape,module1_color",[6] {The sixth image is the only one with a blue outline; all other images have a green outline.},6,1599,0,0
3,data/totems/dim1/var0/summaries/summary=trial3.png,3,module1_color,0,1,"module1_shape,module1_color","[3] {Image 3 is an outlier because it is a red triangle, while all other images are green triangles.}",3,1599,0,0
4,data/totems/dim1/var0/summaries/summary=trial4.png,3,module1_color,0,1,"module1_shape,module1_color","[3] {All other images show a green square, while this image shows a blue square.}",3,1599,0,0
5,data/totems/dim1/var0/summaries/summary=trial5.png,5,module1_color,0,1,"module1_shape,module1_color",[5] {It is the only image with a red border; all other images have a green border.},5,1599,0,0
6,data/totems/dim1/var0/summaries/summary=trial6.png,4,module1_color,0,1,"module1_shape,module1_color","[4] {The border of this image is green, while the borders of all other images are red.}",4,1599,0,0
7,data/totems/dim1/var0/summaries/summary=trial7.png,4,module1_shape,0,1,"module1_shape,module1_color","[4] {This image displays a square shape, while all other images display a circular shape.}",4,1599,0,0
8,data/totems/dim1/var0/summaries/summary=trial8.png,4,module1_shape,0,1,"module1_shape,module1_color","[4] {It is a square, while the others are triangles.}",4,1599,0,0
9,data/totems/dim1/var0/summaries/summary=trial9.png,6,module1_shape,0,1,"module1_shape,module1_color","[6] {The first five images are all squares, while the sixth image is a triangle.}",6,1599,0,0
10,data/totems/dim1/var0/summaries/summary=trial10.png,5,module1_shape,0,1,"module1_shape,module1_color","[5] {Image 5 is a triangle, while all other images are squares.}",5,1599,0,0
11,data/totems/dim1/var0/summaries/summary=trial11.png,4,module1_color,0,1,"module1_shape,module1_color","[4] {This image has a green circle, while all other images have blue circles.}",4,1599,0,0
12,data/totems/dim1/var0/summaries/summary=trial12.png,4,module1_shape,0,1,"module1_shape,module1_color","[4] {The image depicts a circle, while all other images show a triangle.}",4,1599,0,0
13,data/totems/dim1/var0/summaries/summary=trial13.png,6,module1_shape,0,1,"module1_shape,module1_color","[6] {All other images are squares, while image 6 is a triangle.}",6,1599,0,0
14,data/totems/dim1/var0/summaries/summary=trial14.png,6,module1_color,0,1,"module1_shape,module1_color",[6] {It is the only image with a green border; all others have blue borders.},6,1599,0,0
15,data/totems/dim1/var0/summaries/summary=trial15.png,3,module1_color,0,1,"module1_shape,module1_color","[3] {The box in image 3 is blue, while all other boxes are green.}",3,1599,0,0
16,data/totems/dim1/var0/summaries/summary=trial16.png,5,module1_color,0,1,"module1_shape,module1_color","[5] {The circle in image 5 is blue, while all other circles are red.}",5,1599,0,0
17,data/totems/dim1/var0/summaries/summary=trial17.png,6,module1_color,0,1,"module1_shape,module1_color","[6] {This image has a red circle, while all other images have a green circle.}",6,1599,0,0
18,data/totems/dim1/var0/summaries/summary=trial18.png,1,module1_shape,0,1,"module1_shape,module1_color",[1] {All images except image 1 are triangles. Image 1 is a circle.},1,1599,0,0
19,data/totems/dim1/var0/summaries/summary=trial19.png,4,module1_color,0,1,"module1_shape,module1_color","[4] {This image displays a green circle, while all other images display a red circle.}",4,1599,0,0
20,data/totems/dim1/var0/summaries/summary=trial20.png,3,module1_color,0,1,"module1_shape,module1_color","[3] {The triangle in image 3 is green, while all other triangles are red.}",3,1599,0,0
21,data/totems/dim1/var0/summaries/summary=trial21.png,1,module1_shape,0,1,"module1_shape,module1_color","[1] {It is a triangle, while all other images are squares.}",1,1599,0,0
22,data/totems/dim1/var0/summaries/summary=trial22.png,3,module1_shape,0,1,"module1_shape,module1_color","[3] {All other images show a square, while image 3 shows a circle.}",3,1599,0,0
23,data/totems/dim1/var0/summaries/summary=trial23.png,3,module1_color,0,1,"module1_shape,module1_color",[3] {It is the only image with a red circle; all other images have a blue circle.},3,1599,0,0
24,data/totems/dim1/var0/summaries/summary=trial24.png,4,module1_shape,0,1,"module1_shape,module1_color","[4] {It is a circle, while all other images are squares.}",4,1599,0,0
