trial_idx,summary_path,oddball_idx,oddball_abstraction,reference_variance,n_dimensions,abstraction_columns,response,answer,n_input_tokens,n_thought_tokens,n_output_tokens
0,balanced_data/dim_balanced/totems/dim2/var0/summaries/summary=trial0.png,1,module1_color,0,2,"module1_shape,module1_color,module2_shape,module2_color","[1] {The square is green, while in all other images the square is red.}",1,1599,0,19
1,balanced_data/dim_balanced/totems/dim2/var0/summaries/summary=trial1.png,2,module1_shape,0,2,"module1_shape,module1_color,module2_shape,module2_color","[2] {Image 2 is composed of a circle and a square, while all other images are composed of two circles.}",2,1599,0,26
2,balanced_data/dim_balanced/totems/dim2/var0/summaries/summary=trial2.png,2,module1_color,0,2,"module1_shape,module1_color,module2_shape,module2_color","[2] {The square in image 2 is red, while in all other images, the square is green.}",2,1599,0,24
3,balanced_data/dim_balanced/totems/dim2/var0/summaries/summary=trial3.png,6,module2_color,0,2,"module1_shape,module1_color,module2_shape,module2_color","[6] {The circle in image 6 is red, while in all other images, the circle is blue.}",6,1599,0,24
4,balanced_data/dim_balanced/totems/dim2/var0/summaries/summary=trial4.png,5,module2_color,0,2,"module1_shape,module1_color,module2_shape,module2_color","[5] {All other images have both the square and the circle drawn in green, while image 5 has a red square and a green circle.}",5,1599,0,31
5,balanced_data/dim_balanced/totems/dim2/var0/summaries/summary=trial5.png,1,module1_shape,0,2,"module1_shape,module1_color,module2_shape,module2_color","[1] {The green shape in image 1 is a square, while the green shapes in images 2-6 are all triangles.}",1,1599,0,29
6,balanced_data/dim_balanced/totems/dim2/var0/summaries/summary=trial6.png,1,module1_shape,0,2,"module1_shape,module1_color,module2_shape,module2_color","[1] {All other images show two triangles, while image 1 shows a triangle and a circle.}",1,1599,0,22
7,balanced_data/dim_balanced/totems/dim2/var0/summaries/summary=trial7.png,2,module2_shape,0,2,"module1_shape,module1_color,module2_shape,module2_color","[2] {All other images show two squares, one red and one green, stacked vertically. Image 2 shows a red circle on top of a green square.}",2,1599,0,34
8,balanced_data/dim_balanced/totems/dim2/var0/summaries/summary=trial8.png,5,module1_shape,0,2,"module1_shape,module1_color,module2_shape,module2_color","[5] {Image 5 is the outlier because the bottom shape is a circle, while in all other images, the bottom shape is a square.}",5,1599,0,31
9,balanced_data/dim_balanced/totems/dim2/var0/summaries/summary=trial9.png,6,module1_shape,0,2,"module1_shape,module1_color,module2_shape,module2_color","[6] {All other images (1-5) consist of two circles of different colors that are touching at a single point. Image 6, however, consists of a circle and a triangle, touching at a single point.}",6,1599,0,47
10,balanced_data/dim_balanced/totems/dim2/var0/summaries/summary=trial10.png,2,module2_shape,0,2,"module1_shape,module1_color,module2_shape,module2_color","[2] {All other images show two triangles where the bottom point of the upper triangle touches the top flat side of the lower triangle. Image 2 shows a square on top of a triangle, which is a different shape from the rest.}",2,1599,0,49
11,balanced_data/dim_balanced/totems/dim2/var0/summaries/summary=trial11.png,5,module1_shape,0,2,"module1_shape,module1_color,module2_shape,module2_color","[5] {All other images show a green square connected to a red triangle, while image 5 shows a green square connected to a red square.}",5,1599,0,31
12,balanced_data/dim_balanced/totems/dim2/var0/summaries/summary=trial12.png,1,module1_color,0,2,"module1_shape,module1_color,module2_shape,module2_color","[1] {All other images show two shapes that are both blue, whereas image 1 shows a blue circle and a green square.}",1,1599,0,28
13,balanced_data/dim_balanced/totems/dim2/var0/summaries/summary=trial13.png,6,module1_color,0,2,"module1_shape,module1_color,module2_shape,module2_color","[6] {The lower triangle in image 6 is red, while in all other images, the lower triangle is green.}",6,1599,0,26
14,balanced_data/dim_balanced/totems/dim2/var0/summaries/summary=trial14.png,3,module2_color,0,2,"module1_shape,module1_color,module2_shape,module2_color","[3] {The circle in image 3 is blue, while the circles in all other images are red.}",3,1599,0,23
15,balanced_data/dim_balanced/totems/dim2/var0/summaries/summary=trial15.png,2,module1_color,0,2,"module1_shape,module1_color,module2_shape,module2_color","[2] {The outlier is image 2 because, unlike the other images, both the circle and the triangle are blue. In images 1, 3, 4, 5, and 6, the circle is blue and the triangle is red.}",2,1599,0,54
16,balanced_data/dim_balanced/totems/dim2/var0/summaries/summary=trial16.png,3,module2_shape,0,2,"module1_shape,module1_color,module2_shape,module2_color",[3] {All other images show an inverted triangle positioned above a square. Image 3 shows a circle positioned above a square.},3,1599,0,27
17,balanced_data/dim_balanced/totems/dim2/var0/summaries/summary=trial17.png,1,module2_color,0,2,"module1_shape,module1_color,module2_shape,module2_color","[1] {It is the only image where both the square and the circle are red. In all other images, the square is blue and the circle is red.}",1,1599,0,34
18,balanced_data/dim_balanced/totems/dim2/var0/summaries/summary=trial18.png,1,module2_color,0,2,"module1_shape,module1_color,module2_shape,module2_color","[1] {In image 1, the triangle is blue, whereas in all other images (2-6), the triangle is red.}",1,1599,0,29
19,balanced_data/dim_balanced/totems/dim2/var0/summaries/summary=trial19.png,3,module2_color,0,2,"module1_shape,module1_color,module2_shape,module2_color","[3] {Image 3 is the only one where the two circles are not both red. The top circle in image 3 is blue, while the bottom circle is red. In all other images, both circles are red.}",3,1599,0,47
20,balanced_data/dim_balanced/totems/dim2/var0/summaries/summary=trial20.png,1,module2_shape,0,2,"module1_shape,module1_color,module2_shape,module2_color","[1] {All other images show a green inverted triangle placed on top of a red square, while image 1 shows a green square on top of a red square.}",1,1599,0,35
21,balanced_data/dim_balanced/totems/dim2/var0/summaries/summary=trial21.png,5,module2_shape,0,2,"module1_shape,module1_color,module2_shape,module2_color","[5] {All other images show two squares, one blue and one red, stacked vertically. Image 5 shows an inverted blue triangle stacked on top of a red square.}",5,1599,0,36
22,balanced_data/dim_balanced/totems/dim2/var0/summaries/summary=trial22.png,4,module2_color,0,2,"module1_shape,module1_color,module2_shape,module2_color","[4] {The circle in image 4 is red, while in all other images, the circle is green.}",4,1599,0,24
23,balanced_data/dim_balanced/totems/dim2/var0/summaries/summary=trial23.png,5,module1_shape,0,2,"module1_shape,module1_color,module2_shape,module2_color","[5] {The bottom shape is a triangle, while in all other images, the bottom shape is a circle.}",5,1599,0,24
24,balanced_data/dim_balanced/totems/dim2/var0/summaries/summary=trial24.png,6,module1_color,0,2,"module1_shape,module1_color,module2_shape,module2_color","[6] {In images 1-5, the upper square is blue and the lower square is green. In image 6, both squares are blue.}",6,1599,0,33
25,balanced_data/dim_balanced/totems/dim2/var0/summaries/summary=trial25.png,5,module2_shape,0,2,"module1_shape,module1_color,module2_shape,module2_color","[5] {All other images show a blue square connected to a red triangle, whereas image 5 shows a blue triangle connected to a red triangle.}",5,1599,0,31
26,balanced_data/dim_balanced/totems/dim2/var0/summaries/summary=trial26.png,6,module1_shape,0,2,"module1_shape,module1_color,module2_shape,module2_color",[6] {Images 1-5 all depict a green circle sitting on top of an inverted red triangle. Image 6 depicts a green circle sitting on top of a red circle.},6,1599,0,38
