Unnamed: 0,image_path,condition,name,program,program_description,human_description
0,/scratch/gpfs/nb0564/vlm_reasoning/logo_experiment/images/train-110.png,train,4 medium semicircle s in a row_copy_1,(lambda (logo_forLoop 4 (lambda (lambda (logo_GETSET (lambda (logo_forLoop logo_IFTY (lambda (lambda (logo_FWRT (logo_MULL logo_epsL 2) logo_epsA $0))) $0)) (logo_PT (lambda (logo_FWRT logo_UL logo_ZA $0)) $0)))) $0)),four medium semicircles in a row,"['four half circles arranged in a horizontal line', 'four medium half circles side by side curve on the right', 'four medium semicircles in a row']"
1,/scratch/gpfs/nb0564/vlm_reasoning/logo_experiment/images/train-23.png,train,a medium semicircle connected by a medium line to a medium circle,(lambda (logo_forLoop logo_IFTY (lambda (lambda (logo_FWRT (logo_MULL logo_epsL 2) logo_epsA $0))) (logo_FWRT (logo_MULL logo_UL 2) logo_ZA (logo_forLoop logo_IFTY (lambda (lambda (logo_FWRT (logo_MULL logo_epsL 2) logo_epsA $0))) (logo_forLoop logo_IFTY (lambda (lambda (logo_FWRT (logo_MULL logo_epsL 2) logo_epsA $0))) $0))))),a medium semicircle connected by a medium line to a medium circle,"['lower case g on its left side', 'small circle connected to hook shape which looks like number nine', 'a small circle connected to a larger oval that is not closed', 'a nine on its side']"
2,/scratch/gpfs/nb0564/vlm_reasoning/logo_experiment/images/train-48.png,train,5 sided snowflake with a short line and a medium 5 gon as arms,(lambda (logo_forLoop 5 (lambda (lambda (logo_GETSET (lambda (logo_FWRT (logo_MULL logo_UL 1) logo_ZA (logo_forLoop 5 (lambda (lambda (logo_FWRT (logo_MULL logo_UL 2) (logo_DIVA logo_UA 5) $0))) $0))) (logo_FWRT logo_ZL (logo_DIVA logo_UA 5) $0)))) $0)),five sided snowflake with a short line and a medium pentagon as arms,"['five sided snowflake with pentagon touching at the end of each arm', 'five pentagons on a starburst', 'hexagon flower']"
3,/scratch/gpfs/nb0564/vlm_reasoning/logo_experiment/images/train-196.png,train,5 sided snowflake with a small triangle and a medium circle as arms,(lambda (logo_forLoop 5 (lambda (lambda (logo_GETSET (lambda (logo_PT (lambda (logo_FWRT logo_UL logo_ZA $0)) (logo_forLoop 3 (lambda (lambda (logo_FWRT (logo_MULL logo_UL 1) (logo_DIVA logo_UA 3) $0))) (logo_PT (lambda (logo_FWRT logo_UL logo_ZA $0)) (logo_forLoop logo_IFTY (lambda (lambda (logo_FWRT (logo_MULL logo_epsL 2) logo_epsA $0))) (logo_forLoop logo_IFTY (lambda (lambda (logo_FWRT (logo_MULL logo_epsL 2) logo_epsA $0))) $0)))))) (logo_FWRT logo_ZL (logo_DIVA logo_UA 5) $0)))) $0)),five sided snowflake with a small triangle and a medium circle as arms,"['five candy corn pointing in', 'five ice cream c1s in a circle', 'five lamps in rounded', 'a five sided snowflake made of medium circles connected to small triangles']"
4,/scratch/gpfs/nb0564/vlm_reasoning/logo_experiment/images/train-42.png,train,3 sided snowflake with a short space and a short line and a short space and a small square as arms,(lambda (logo_forLoop 3 (lambda (lambda (logo_GETSET (lambda (logo_PT (lambda (logo_FWRT logo_UL logo_ZA $0)) (logo_FWRT logo_UL logo_ZA (logo_PT (lambda (logo_FWRT logo_UL logo_ZA $0)) (logo_forLoop 4 (lambda (lambda (logo_FWRT (logo_MULL logo_UL 1) (logo_DIVA logo_UA 4) $0))) $0))))) (logo_FWRT logo_ZL (logo_DIVA logo_UA 3) $0)))) $0)),three sided snowflake with a short space and a short line and a short space and a small square as arms,"['small squares and lines in a y formation', 'three point star made of lines and squares', 'three lines shooting out from middle square on the outside']"
5,/scratch/gpfs/nb0564/vlm_reasoning/logo_experiment/images/train-171.png,train,4 concentric square s_copy_4,(lambda (logo_forLoop 5 (lambda (lambda (logo_GETSET (lambda (logo_forLoop 4 (lambda (lambda (logo_FWRT (logo_MULL logo_UL $4) (logo_DIVA logo_UA 4) $0))) $0)) $0))) $0)),four concentric squares,"['nested square with little damage at the top right corner', 'squares inside', 'four nested squares']"
6,/scratch/gpfs/nb0564/vlm_reasoning/logo_experiment/images/train-29.png,train,a 7 stepped staircase_copy_1,(lambda (logo_forLoop 7 (lambda (lambda (logo_FWRT logo_UL (logo_DIVA logo_UA 4) (logo_FWRT logo_UL (logo_DIVA logo_UA 4) (logo_FWRT logo_ZL (logo_DIVA logo_UA 2) $0))))) $0)),a seven stepped staircase,"['a large six step stair going to the right', 'ladder shape object']"
7,/scratch/gpfs/nb0564/vlm_reasoning/logo_experiment/images/train-135.png,train,7 sided snowflake with a short space and a short line and a short space and a short line as arms,(lambda (logo_forLoop 7 (lambda (lambda (logo_GETSET (lambda (logo_PT (lambda (logo_FWRT logo_UL logo_ZA $0)) (logo_FWRT logo_UL logo_ZA (logo_PT (lambda (logo_FWRT logo_UL logo_ZA $0)) (logo_FWRT logo_UL logo_ZA $0))))) (logo_FWRT logo_ZL (logo_DIVA logo_UA 7) $0)))) $0)),seven sided snowflake with a short space and a short line and a short space and a short line as arms,"['line art', 'six lines each with two black lines separated by a white space and forming a pinwheel nothing is connected']"
8,/scratch/gpfs/nb0564/vlm_reasoning/logo_experiment/images/train-67.png,train,3 concentric square s_copy_0,(lambda (logo_forLoop 4 (lambda (lambda (logo_GETSET (lambda (logo_forLoop 4 (lambda (lambda (logo_FWRT (logo_MULL logo_UL $4) (logo_DIVA logo_UA 4) $0))) $0)) $0))) $0)),three concentric squares,"['three nesting squares', 'three nested squares', 'three nestled squares going small medium then large to the right', 'three nested squares']"
9,/scratch/gpfs/nb0564/vlm_reasoning/logo_experiment/images/train-154.png,train,6 sided snowflake with a medium space and a medium triangle as arms,(lambda (logo_forLoop 6 (lambda (lambda (logo_GETSET (lambda (logo_PT (lambda (logo_FWRT (logo_MULL logo_UL 2) logo_ZA $0)) (logo_forLoop 3 (lambda (lambda (logo_FWRT (logo_MULL logo_UL 2) (logo_DIVA logo_UA 3) $0))) $0))) (logo_FWRT logo_ZL (logo_DIVA logo_UA 6) $0)))) $0)),six sided snowflake with a medium space and a medium triangle as arms,"['a six sided snowflake with a space and triangles for arms', 'seven snowflake seven sdoed triangles', 'six triangles unconnected']"
